000,Check in please.,체크인요.
001,Where is my gate?,게이트 어디예요?
002,Can I get a map?,지도 주세요?
003,How much is this?,이거 얼마예요?
004,I need a taxi.,택시가 필요해요
005,What time is it?,지금 몇 시예요?
006,Do you have Wi-Fi?,와이파이 되나요?
007,I'm lost.,길을 잃었어요
008,Please give me water.,물을 주세요
009,Take me here.,여기로 가요.
010,Can I pay by card?,카드로 돼요?
011,I want a menu.,메뉴판 볼게요.
012,It's too cold.,너무 추워요.
013,Excuse me?,저기요 질문요.
014,Where is the bathroom?,화장실이 어디예요?
015,I need help.,도움이 필요해요
016,Can I try this?,이거 입어봐요?
017,It was so good.,정말 맛있었어요
018,Just a moment.,잠깐만요.
019,I don't get it.,이해 못 했어요
020,How do I get there?,거기 어떻게 가요?
021,I have a room.,예약했어요
022,Can I sit here?,여기 앉을까요?
023,It's very good.,이거 아주 좋아요
024,Where's the subway?,지하철 어디예요?
025,I'm allergic to nuts.,견과류 알레르기요.
026,Can I change money?,환전 되나요?
027,I'll take this.,이것으로 할게요
028,Just looking.,그냥 보는 중이에요
029,Can I get a receipt?,영수증 돼요?
030,I want to order.,지금 주문할게요.
031,Is breakfast free?,아침 식사 무료예요?
032,Say that again?,다시 말해줘요?
033,I need a fork.,포크가 필요해요
034,Is it far?,여기서 먼가요?
035,How long takes it?,얼마나 걸려요?
036,I feel sick.,오늘 몸이 안 좋아요
037,I need a blanket.,담요가 필요해요
038,What is this street?,이 거리는 뭐예요?
039,Your name please?,성함을 알려주세요
040,I need a single.,싱글룸이 필요해요
041,Speak slowly.,천천히 말해주세요
042,Which bus?,어떤 버스가 가요?
043,Is this included?,포함된 건가요?
044,I want to go back.,돌아가고 싶어요
045,I like this a lot.,이거 정말 좋아요
046,Where to smoke?,어디서 흡연해요?
047,How can I call you?,어떻게 불러야 하나요?
048,It is on the house.,이건 서비스예요
049,Lost my passport.,여권을 잃었어요.
050,Any discount?,할인이 있나요?
051,Can I leave bags?,짐을 맡길까요?
052,Two nights stay.,이틀 밤 묵을 거예요
053,I need a train.,기차를 타야 해요
054,Take credit cards?,신용카드 받나요?
055,Need bigger size.,더 큰 사이즈요.
056,Hurry up please.,서둘러 주세요
057,It's my first time.,처음이에요
058,Can I use my phone?,제 폰 써도 돼요?
059,I need a quiet room.,조용한 방이 필요해요
060,Is this taken?,이 자리 주인 있나요?
061,What's your special?,특별 메뉴는요?
062,I want the view.,경치를 보고 싶어요
063,Stop here.,여기서 멈춰 주세요
064,Do you have a key?,열쇠 갖고 계세요?
065,Can I get a towel?,수건을 받을까요?
066,I need adapter.,어댑터가 필요해요
067,Where is the ATM?,ATM은 어디예요?
068,Spoon please?,숟가락 주세요?
069,Going to the beach.,해변에 갈 거예요
070,Room number?,방 번호가 몇 번이에요?
071,I'll pay for us.,저희가 계산할게요
072,Tastes strange.,맛이 이상해요.
073,Can I cancel?,이거 취소할 수 있나요?
074,Where's fitting room?,탈의실이 어디예요?
075,Table for two.,2인용 테이블이요
076,Can I get a refill?,리필해 주시겠어요?
077,I'm really sleepy.,정말 졸려요
078,When's next bus?,다음 버스는 언제예요?
079,It's too expensive.,너무 비싸요
080,Need luggage cart.,수하물 카트 필요해요
081,What's main dish?,메인 요리가 뭐예요?
082,Open the window?,창문 열어도 돼요?
083,I need to call home.,집에 전화해야 해요
084,How was your flight?,비행은 어땠어요?
085,Is there a pool?,수영장이 있나요?
086,Receipt please.,영수증 좀 주세요?
087,Need smaller size.,더 작은 사이즈요.
088,Where to buy ticket?,표는 어디서 사요?
089,I want a window seat.,창가 자리 원해요.
090,I need a tissue box.,티슈 상자가 필요해요
091,Is hotel nearby?,호텔이 근처인가요?
092,I'll check out.,체크아웃 할게요
093,Pay in cash?,현금으로 결제해요?
094,I want a rental car.,차를 빌리고 싶어요
095,How much is fare?,요금이 얼마예요?
